0.011532,0.078084
0.001105,-0.004431
0.0058847,0.0014238
-0.011568,0.0023459
-0.017027,-0.031017
-0.0019493,0.028046
-0.0018074,-0.042181
0.011644,0.029851
-0.018309,-0.0087165
0.0053996,0.02903
-0.018188,0.022885
-0.021753,-0.022296
-0.0057735,-0.0036998
-0.0057958,-0.017981
0.012898,0.026793
-0.025194,-0.023367
0.04054,0.041218
-0.035345,0.01065
0.036755,0.0090768
-0.056678,0.010316
0.052851,-0.01291
-0.17093,-0.035799
-0.086915,-0.070365
0.63884,0
-0.086915,0.070365
-0.17093,0.035799
0.052851,0.01291
-0.056678,-0.010316
0.036755,-0.0090768
-0.035345,-0.01065
0.04054,-0.041218
-0.025194,0.023367
0.012898,-0.026793
-0.0057958,0.017981
-0.0057735,0.0036998
-0.021753,0.022296
-0.018188,-0.022885
0.0053996,-0.02903
-0.018309,0.0087165
0.011644,-0.029851
-0.0018074,0.042181
-0.0019493,-0.028046
-0.017027,0.031017
-0.011568,-0.0023459
0.0058847,-0.0014238
0.001105,0.004431
0.011532,-0.078084
