0	1.523574	220.6731	0.06623601	14.71208
0	2.56717	220.6489	0.06737342	18.54051
2	3.005815	220.5053	0.06624494	41.13478
0	3.605815	220.6062	0.06748431	25.27496
2	4.005816	220.4827	0.06792504	44.71636
1	4.005816	304.7162	0.0667388	147.8373
0	4.605815	220.5471	0.0672405	34.58695
2	5.005816	220.4434	0.06766336	50.92381
1	5.005816	301.1336	0.06794329	148.0138
0	5.605815	220.4743	0.06425006	46.0424
2	6.005816	220.386	0.06728733	59.9543
1	6.005816	294.9489	0.06765368	148.5721
0	6.605815	220.4005	0.06626591	57.66651
2	7.005816	220.3121	0.0669529	71.60732
1	7.005816	285.9617	0.06731024	149.4134
0	7.605815	220.3207	0.06638463	70.23258
2	8.005816	220.2245	0.06752946	85.40187
1	8.005816	274.3615	0.06702689	150.3203
0	8.654105	220.2294	0.06539386	84.61121
2	9.054106	220.125	0.06653342	101.0735
1	9.054106	259.875	0.06762401	150.9854
0	9.70143	220.1358	0.06585649	99.33959
2	10.08916	220.028	0.06589302	116.3545
1	10.08916	244.5842	0.06660812	151.2718
0	10.73916	220.0474	0.05893189	113.2734
2	11.08916	219.9515	0.05076239	128.3791
1	11.08916	229.9634	0.0630486	151.3363
0	11.73916	220.0139	0.06026731	118.5522
2	12.08916	219.9368	0.06492168	130.6932
1	12.08916	219.8587	0.06733357	150.3999
