0	1.523574	1.450683
0	2.56717	2.582364
2	3.005815	0.7353532
0	3.605815	2.763258
2	4.005816	2.563505
1	4.005816	0.5531532
0	4.605815	2.812638
2	5.005816	2.713851
1	5.005816	2.561364
0	5.605815	0.7369823
2	6.005816	2.836669
1	6.005816	2.711231
0	6.605815	0.6398621
2	7.005816	2.389597
1	7.005816	2.826665
0	7.605815	1.072273
2	8.005816	2.161503
1	8.005816	2.37355
0	8.654105	0.86118
2	9.054106	0.03402437
1	9.054106	2.132867
0	9.70143	0.1621717
2	10.08916	-0.002834166
1	10.08916	-0.01537323
0	10.73916	-2.981592
2	11.08916	-7.487351
1	11.08916	-1.852982
0	11.73916	-10.67011
2	12.08916	-7.438198
1	12.08916	-4.201777
