0	1.523574	2.210223
0	2.56717	4.905167
2	3.005815	2.210336
0	3.605815	7.77521
2	4.005816	4.773842
1	4.005816	2.21583
0	4.605815	10.58785
2	5.005816	7.487693
1	5.005816	4.777194
0	5.605815	11.32483
2	6.005816	10.32436
1	6.005816	7.488425
0	6.605815	11.96469
2	7.005816	12.71396
1	7.005816	10.31509
0	7.605815	13.03697
2	8.005816	14.87546
1	8.005816	12.68864
0	8.654105	13.93973
2	9.054106	14.91113
1	9.054106	14.9245
0	9.70143	14.10958
2	10.08916	14.9082
1	10.08916	14.90859
0	10.73916	11.0155
2	11.08916	7.420846
1	11.08916	13.05561
0	11.73916	0.3453987
2	12.08916	-0.01735278
1	12.08916	8.853833
