1.24428003E+003	1.00000000E+001	1.08947998E+003
1.24540002E+003	1.00000000E+001	1.05305005E+003
1.24540002E+003	1.00000000E+001	1.05305005E+003
1.10458997E+003	1.00000000E+001	1.04871997E+003
1.10458997E+003	1.00000000E+001	1.04871997E+003
1.10397998E+003	1.00000000E+001	1.08388000E+003
1.10346997E+003	1.00000000E+001	1.08516003E+003
1.24428003E+003	1.00000000E+001	1.08947998E+003
1.10397998E+003	1.00000000E+001	1.08388000E+003
1.10346997E+003	1.00000000E+001	1.08516003E+003
1.24428003E+003	0.00000000E+000	1.08947998E+003
1.24540002E+003	0.00000000E+000	1.05305005E+003
1.24540002E+003	0.00000000E+000	1.05305005E+003
1.10458997E+003	0.00000000E+000	1.04871997E+003
1.10458997E+003	0.00000000E+000	1.04871997E+003
1.10397998E+003	0.00000000E+000	1.08388000E+003
1.10346997E+003	0.00000000E+000	1.08516003E+003
1.24428003E+003	0.00000000E+000	1.08947998E+003
1.10397998E+003	0.00000000E+000	1.08388000E+003
1.10346997E+003	0.00000000E+000	1.08516003E+003
1.10346997E+003	1.00000000E+001	1.08516003E+003
1.24428003E+003	1.00000000E+001	1.08947998E+003
1.24540002E+003	1.00000000E+001	1.05305005E+003
1.10458997E+003	1.00000000E+001	1.04871997E+003
1.10397998E+003	1.00000000E+001	1.08388000E+003
1.10346997E+003	1.00000000E+001	1.08516003E+003
1.10346997E+003	0.00000000E+000	1.08516003E+003
1.24428003E+003	0.00000000E+000	1.08947998E+003
1.24540002E+003	0.00000000E+000	1.05305005E+003
1.10458997E+003	0.00000000E+000	1.04871997E+003
1.10397998E+003	0.00000000E+000	1.08388000E+003
1.10346997E+003	0.00000000E+000	1.08516003E+003
